ABE,TJR,NV,DST,LMAC,OUT
0.934721,0.5511,0.228344,1,0.000937,0
0.934823,0.5511,0.228344,1,0.000937,0
0.934922,0.557775,0.228344,1,0.000937,0
0.935025,0.5511,0.228344,1,0.000937,0
0.983604,0.4816,0.228344,1,0.000937,0
0.983631,0.488775,0.228344,1,0.000937,0
0.98366,0.4816,0.228344,1,0.000937,0
0.983688,0.4959,0.228344,1,0.000937,1
0.983717,0.4959,0.228344,1,0.000937,0
0.983749,0.488775,0.228344,1,0.000937,1
0.983782,0.488775,0.228344,1,0.000937,1
0.983815,0.4816,0.228344,1,0.000937,1
0.983848,0.488775,0.228344,1,0.000937,1
0.98388,0.4816,0.228344,1,0.000937,1
0.98391,0.4816,0.228344,1,0.000937,1
0.983938,0.474375,0.228344,1,0.000937,0
0.983964,0.474375,0.228344,1,0.000937,0
0.983988,0.4816,0.228344,1,0.000937,1
0.984013,0.4816,0.228344,1,0.000937,1
0.984039,0.4671,0.228344,1,0.000937,1
0.984065,0.4671,0.228344,1,0.000937,1
0.984093,0.459775,0.228344,1,0.000937,1
0.984123,0.459775,0.228344,1,0.000937,1
0.98415,0.4524,0.228344,1,0.000937,1
0.984175,0.4524,0.228344,1,0.000937,1
0.984199,0.4524,0.228344,1,0.000937,1
0.984221,0.444975,0.228344,1,0.000937,1
0.984242,0.444975,0.228344,1,0.000937,1
0.984264,0.4524,0.228344,1,0.000937,0
0.984284,0.4524,0.228344,1,0.000937,1
0.984299,0.4524,0.228344,1,0.000937,1
0.984312,0.4524,0.228344,1,0.000937,1
0.984324,0.4524,0.228344,1,0.000937,1
0.984333,0.459775,0.228344,1,0.000937,1
0.984341,0.4524,0.228344,1,0.000937,1
0.984353,0.459775,0.228344,1,0.000937,1
0.984364,0.444975,0.228344,1,0.000937,1
0.984372,0.4375,0.228344,1,0.000937,1
0.984374,0.429975,0.228344,1,0.000937,1
0.984376,0.4375,0.228344,1,0.000937,1
0.984406,0.429975,0.228344,1,0.000937,1
0.984386,0.429975,0.228345,1,0.000937,1
0.935122,0.5511,0.230922,1,0.000937,1
0.93522,0.5511,0.23747,1,0.000937,0
0.935457,0.544375,0.248156,1,0.000937,0
0.983804,0.36,0.027822,0.967742,0.000938,1
0.983877,0.36,0.052267,0.967742,0.000938,0
0.983753,0.2944,0.012294,1,0.000939,1
0.983665,0.1536,0.07895,1,0.000943,0
0.982786,0.3111,0.016046,1,0.000964,0
0.959914,0.144375,0.381104,1,0.001194,1
0.930084,0.029775,0.028943,0,0.001248,1
0.983092,0.335775,0.015439,1,0.001281,0
0.636928,0.19,0.033077,0,0.001321,0
0.715714,0.2604,0.000344,1,0.001327,1
0.544122,0.162775,0.059066,1,0.001348,0
0.822424,0.216775,0.407882,1,0.001398,0
0.816438,0.0975,0.380886,0.975904,0.001479,0
0.190573,0.1351,0.042521,0.975162,0.001669,0
0.724874,0.1351,0.381289,0.98913,0.001728,0
0.107529,0.285975,0.001933,1,0.001933,0
0.823303,0.2431,0.364969,1,0.001942,1
0.018605,0.1164,0.002171,1,0.00195,0
0.018608,0.0975,0.002171,1,0.00195,0
0.018749,0.106975,0.002171,1,0.00195,0
0.018773,0.106975,0.002171,1,0.00195,0
0.105507,0.1164,0.002171,1,0.00195,0
0.964533,0.087975,0.002171,1,0.00195,0
0.964537,0.087975,0.002171,1,0.00195,0
0.964587,0.0975,0.002171,1,0.00195,0
0.964724,0.0975,0.002171,1,0.00195,0
0.964845,0.087975,0.002171,1,0.00195,0
0.965022,0.0975,0.002171,1,0.00195,0
0.964301,0.0784,0.002173,1,0.00195,0
0.192304,0.0975,0.004659,1,0.00195,0
0.962762,0.180975,0.018332,1,0.00195,0
0.963165,0.1719,0.018332,1,0.00195,0
0.96356,0.1536,0.018332,1,0.00195,0
0.963943,0.144375,0.018332,1,0.00195,0
0.018635,0.0975,0.018702,1,0.00195,0
0.018752,0.0784,0.018702,1,0.00195,0
0.018762,0.0784,0.019158,1,0.00195,0
0.018612,0.144375,0.019503,0.984615,0.00195,0
0.018755,0.1536,0.019503,0.984615,0.00195,0
0.018766,0.1536,0.019503,0.984615,0.00195,0
0.018777,0.1536,0.019503,0.984615,0.00195,0
0.018781,0.162775,0.019503,0.984615,0.00195,0
0.018785,0.162775,0.019503,0.984615,0.00195,0
0.10553,0.1719,0.019503,0.984615,0.00195,0
0.190829,0.144375,0.019503,0.984615,0.00195,0
0.276976,0.1351,0.019503,0.984615,0.00195,0
0.95754,0.162775,0.019503,0.984615,0.00195,0
0.957734,0.162775,0.019503,0.984615,0.00195,0
0.958016,0.1351,0.019503,0.984615,0.00195,0
0.958218,0.1351,0.019503,0.984615,0.00195,0
0.958399,0.1351,0.019503,0.984615,0.00195,0
0.958593,0.1351,0.019503,0.984615,0.00195,0
0.958783,0.1351,0.019503,0.984615,0.00195,0
0.959465,0.162775,0.019503,0.984615,0.00195,0
0.961359,0.162775,0.019503,0.984615,0.00195,0
0.961553,0.162775,0.019503,0.984615,0.00195,0
0.961737,0.162775,0.019503,0.984615,0.00195,0
0.961738,0.162775,0.019503,0.984615,0.00195,0
0.961918,0.162775,0.019503,0.984615,0.00195,0
0.962792,0.1536,0.019503,0.984615,0.00195,0
0.963898,0.1536,0.019503,0.984615,0.00195,0
0.964785,0.1536,0.019503,0.984615,0.00195,0
0.965095,0.1536,0.019503,0.984615,0.00195,0
0.965353,0.144375,0.019503,0.984615,0.00195,0
0.96547,0.1536,0.019503,0.984615,0.00195,0
0.965633,0.1536,0.019503,0.984615,0.00195,0
0.965669,0.1536,0.019503,0.984615,0.00195,0
0.965671,0.1536,0.019503,0.984615,0.00195,0
0.965689,0.1536,0.019503,0.984615,0.00195,0
0.965794,0.1536,0.019503,0.984615,0.00195,0
0.965821,0.144375,0.019503,0.984615,0.00195,0
0.966687,0.162775,0.019503,0.984615,0.00195,0
0.966663,0.1351,0.019508,0.984615,0.00195,0
0.96656,0.1351,0.019519,0.984615,0.00195,0
0.966333,0.1351,0.019548,0.984615,0.00195,0
0.105503,0.1536,0.019862,0.984615,0.00195,0
0.105481,0.1536,0.020498,0.984615,0.00195,0
0.105458,0.144375,0.022085,0.984615,0.00195,0
0.105429,0.1536,0.025486,0.984615,0.00195,0
0.105415,0.1536,0.031813,0.984615,0.00195,0
0.104617,0.0975,0.035369,1,0.00195,0
0.190513,0.0975,0.035369,1,0.00195,0
0.19215,0.162775,0.039519,1,0.00195,0
0.187635,0.125775,0.042521,0.975162,0.00195,0
0.188084,0.1351,0.042521,0.975162,0.00195,0
0.188232,0.1351,0.042521,0.975162,0.00195,0
0.188426,0.1351,0.042521,0.975162,0.00195,0
0.188648,0.1351,0.042521,0.975162,0.00195,0
0.188908,0.1351,0.042521,0.975162,0.00195,1
0.188948,0.1536,0.042521,0.975162,0.00195,0
0.188987,0.162775,0.042521,0.975162,0.00195,0
0.189007,0.144375,0.042521,0.975162,0.00195,0
0.189026,0.1719,0.042521,0.975162,0.00195,0
0.189064,0.1719,0.042521,0.975162,0.00195,0
0.189095,0.1351,0.042521,0.975162,0.00195,0
0.189103,0.162775,0.042521,0.975162,0.00195,0
0.189337,0.1351,0.042521,0.975162,0.00195,0
0.189408,0.1351,0.042521,0.975162,0.00195,0
0.189447,0.144375,0.042521,0.975162,0.00195,0
0.189453,0.144375,0.042521,0.975162,0.00195,0
0.189842,0.1351,0.042521,0.975162,0.00195,0
0.190189,0.1351,0.042521,0.975162,0.00195,0
0.190224,0.144375,0.042521,0.975162,0.00195,0
0.190227,0.144375,0.042521,0.975162,0.00195,0
0.190268,0.1351,0.042522,0.975162,0.00195,0
0.276891,0.1351,0.042526,0.975162,0.00195,0
0.277172,0.144375,0.042534,0.975162,0.00195,0
0.277084,0.144375,0.042613,0.975162,0.00195,0
0.277042,0.1351,0.042759,0.975162,0.00195,0
0.276999,0.144375,0.043126,0.975162,0.00195,0
0.363061,0.1351,0.044008,0.975162,0.00195,0
0.363,0.144375,0.045893,0.975162,0.00195,0
0.962518,0.144375,0.381104,1,0.001986,1
0.960394,0.162775,0.381104,1,0.001994,0
0.367643,0.162775,0.059104,1,0.002018,0
0.538258,0.180975,0.046687,1,0.002132,0
0.106224,0.125775,0.059104,1,0.002241,0
0.554618,0.2079,0.424266,1,0.00241,1
0.198221,0.144375,0.601464,1,0.002435,1
0.623109,0.251775,0.028289,1,0.002584,1
0.959731,0.144375,0.381104,1,0.002758,1
0.997115,0.0784,0.166336,1,0.002759,0
0.990666,0.3439,0.000952,1,0.002848,1
0.823507,0.2256,0.362197,1,0.002946,0
0.989588,0.488775,0.058829,0.947368,0.003124,0
0.979743,0.125775,0.381102,1,0.003127,0
0.890762,0.106975,0.381104,1,0.003294,0
0.963305,0.1164,0.381104,1,0.00343,0
0.633016,0.180975,0.022076,1,0.003462,0
0.465938,0.125775,0.426299,1,0.003469,0
0.733404,0.198975,0.572376,1,0.003471,1
0.554556,0.2079,0.424266,1,0.003513,1
0.107536,0.234375,0.003535,1,0.003535,0
0.881192,0.162775,0.381104,1,0.003616,1
0.80258,0.2604,0.00503,1,0.003643,1
0.905068,0.1536,1,1,0.003722,0
0.456666,0.162775,0.059092,1,0.003838,0
0.280845,0.1164,0.059104,1,0.003839,0
0.969956,0.1351,0.667896,0,0.004003,1
0.984524,0.2431,0.437251,1,0.00403,1
0.901069,0.216775,0.031554,1,0.004076,0
0.636985,0.1536,0.028024,1,0.004142,1
0.987594,0.36,1,1,0.004149,1
0.959586,0.1351,0.381104,1,0.004315,1
0.962855,0.125775,0.381104,1,0.004316,0
0.019367,0.087975,0.694867,1,0.004372,0
0.107536,0.1164,0.004427,1,0.004427,0
0.938907,0.087975,0.006973,1,0.004593,0
0.019133,0.1164,0.004694,1,0.004693,0
0.107543,0.125775,0.004695,1,0.004694,0
0.107548,0.1164,0.004695,1,0.004694,0
0.195933,0.125775,0.004695,1,0.004694,0
0.195943,0.1351,0.004695,1,0.004694,0
0.284306,0.1351,0.004695,1,0.004694,0
0.284321,0.1351,0.004695,1,0.004694,0
0.372679,0.1351,0.004696,1,0.004694,0
0.461041,0.1351,0.004696,1,0.004694,0
0.461015,0.144375,0.004696,1,0.004695,0
0.460993,0.162775,0.004697,1,0.004696,0
0.372602,0.162775,0.004699,1,0.004698,0
0.372583,0.162775,0.004706,1,0.004705,0
0.549277,0.162775,0.004722,1,0.004722,0
0.987517,0.36,1,1,0.004732,1
0.54925,0.1536,0.004764,1,0.004764,0
0.251884,0.1719,1,1,0.004791,1
0.98446,0.302775,0.386139,1,0.004794,0
0.196611,0.0975,0.059958,1,0.004806,1
0.549223,0.1536,0.004868,1,0.004868,1
0.376578,0.1536,0.415821,1,0.004949,0
0.549194,0.1351,0.005108,1,0.005108,1
0.963623,0.106975,0.381104,1,0.00513,0
0.881116,0.1719,0.381104,1,0.005287,0
0.963716,0.1164,0.637065,0,0.005383,0
0.72584,0.1351,0.005599,1,0.005599,1
0.280823,0.1164,0.059104,1,0.005683,0
0.982481,0.319375,0.024923,1,0.00571,0
0.880212,0.106975,0.381104,1,0.005845,1
0.544023,0.1536,0.058995,1,0.006076,0
0.015731,0.0975,1,0,0.006077,1
0.980977,0.029775,0.017497,0,0.006337,0
0.980977,0.029775,0.017497,0,0.006337,1
0.549125,0.1351,0.006462,1,0.006462,1
0.63307,0.1536,0.058798,1,0.006469,0
0.019369,0.087975,0.694867,1,0.006606,0
0.950461,0.5511,0.23747,1,0.006669,0
0.287621,0.144375,0.584007,1,0.006757,1
0.62879,0.2431,0.003903,1,0.006758,1
0.881641,0.1719,0.381104,1,0.006783,0
0.983861,0.1164,0.381102,1,0.006854,0
0.281811,0.106975,0.059104,1,0.00699,0
0.988708,0.2256,0.65979,0.990826,0.007145,1
0.962692,0.144375,0.381104,1,0.007205,0
0.281107,0.106975,0.059104,1,0.007275,0
0.959897,0.0975,0.381104,1,0.007374,0
0.997076,0.383775,0.549947,1,0.007394,0
0.26402,0.144375,0.072778,1,0.007431,0
0.948468,0.162775,0.721366,0.904215,0.00748,0
0.637417,0.1351,0.007771,1,0.007771,1
0.997182,0.0784,0.166336,1,0.0078,0
0.823108,0.2256,0.374322,1,0.00781,1
0.977266,0.1351,0.381104,1,0.007916,0
0.637043,0.1536,0.025717,1,0.007931,1
0.947691,0.162775,0.672309,0.981943,0.007948,0
0.280911,0.106975,0.059104,1,0.008033,0
0.989654,0.488775,0.058829,0.947368,0.008042,0
0.989436,0.4375,0.228314,1,0.008104,0
0.426002,0.1719,0.039322,1,0.008118,0
0.802287,0.125775,0.381296,0.998593,0.008148,0
0.900912,0.162775,0.381102,1,0.008173,0
0.945125,0.162775,0.672394,0.981943,0.008213,0
0.998484,0.068775,0.008219,0,0.008219,0
0.943585,0.162775,0.672397,0.981943,0.00822,0
0.919691,0.1164,0.134314,1,0.008222,0
0.942171,0.162775,0.672398,0.981943,0.008223,0
0.937168,0.2775,0.610324,1,0.008225,0
0.935617,0.2775,0.62835,1,0.008225,0
0.936403,0.2775,0.62835,1,0.008225,0
0.938151,0.1536,0.672398,0.981943,0.008225,0
0.94127,0.162775,0.672398,0.981943,0.008225,0
0.930245,0.2775,0.606173,1,0.008235,0
0.931086,0.2944,0.632715,0.929078,0.008235,0
0.931851,0.2944,0.632715,0.929078,0.008235,0
